#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         262    -3.78127    -3.77711 0.000786286
         263    -3.78097    -3.77712 0.000783433
         264     -3.7807    -3.77714 0.000780583
         265    -3.78028    -3.77715 0.000777727
         266    -3.78033    -3.77716 0.000774895
         267    -3.77993    -3.77717 0.000772063
         268       -3.78    -3.77718 0.000769254
         269    -3.78008    -3.77719  0.00076647
         270    -3.77971     -3.7772 0.000763688
         271    -3.77965    -3.77721 0.000760923
         272    -3.77959    -3.77722 0.000758176
         273    -3.77939    -3.77723  0.00075544
         274    -3.77949    -3.77724 0.000752728
         275    -3.77854    -3.77724 0.000750006
         276    -3.77865    -3.77725 0.000747306
         277    -3.77861    -3.77725 0.000744624
         278    -3.77887    -3.77726 0.000741969
         279    -3.77853    -3.77726 0.000739323
         280    -3.77909    -3.77727 0.000736712
         281    -3.77934    -3.77727 0.000734127
         282     -3.7793    -3.77728 0.000731559
         283    -3.77864    -3.77729 0.000728989
         284    -3.77843    -3.77729 0.000726434
         285    -3.77852    -3.77729 0.000723898
         286     -3.7783     -3.7773 0.000721375
         287    -3.77808     -3.7773 0.000718867
         288    -3.77815     -3.7773 0.000716377
         289    -3.77777    -3.77731   0.0007139
         290    -3.77752    -3.77731 0.000711438
         291    -3.77743    -3.77731 0.000708994
         292    -3.77748    -3.77731 0.000706566
         293    -3.77737    -3.77731 0.000704155
         294    -3.77726    -3.77731 0.000701759
         295      -3.777    -3.77731 0.000699381
         296    -3.77643     -3.7773 0.000697025
         297    -3.77631     -3.7773 0.000694686
         298    -3.77619     -3.7773 0.000692365
         299    -3.77592    -3.77729 0.000690065
         300     -3.7758    -3.77729 0.000687782
         301    -3.77584    -3.77728 0.000685514
         302    -3.77543    -3.77728 0.000683272
         303    -3.77518    -3.77727 0.000681052
         304    -3.77539    -3.77726 0.000678839
         305    -3.77515    -3.77726 0.000676649
         306    -3.77493    -3.77725  0.00067448
         307    -3.77471    -3.77724 0.000672334
         308    -3.77465    -3.77723 0.000670203
         309    -3.77415    -3.77722 0.000668109
         310    -3.77366    -3.77721 0.000666052
         311    -3.77348     -3.7772 0.000664018
         312    -3.77362    -3.77719 0.000661989
         313     -3.7736    -3.77718 0.000659973
         314    -3.77329    -3.77716 0.000657987
         315    -3.77359    -3.77715 0.000655996
         316    -3.77359    -3.77714 0.000654016
         317    -3.77359    -3.77713 0.000652049
         318     -3.7736    -3.77712 0.000650093
         319     -3.7739    -3.77711 0.000648133
         320    -3.77375     -3.7771 0.000646193
         321    -3.77359    -3.77709 0.000644272
         322    -3.77328    -3.77707  0.00064238
         323    -3.77327    -3.77706 0.000640499
         324    -3.77311    -3.77705 0.000638638
         325    -3.77339    -3.77704 0.000636772
         326    -3.77322    -3.77703 0.000634926
         327     -3.7732    -3.77702 0.000633092
         328    -3.77333      -3.777 0.000631262
         329    -3.77362    -3.77699 0.000629427
         330    -3.77391    -3.77699 0.000627589
         331     -3.7736    -3.77697 0.000625777
         332     -3.7736    -3.77696 0.000623975
         333     -3.7736    -3.77695 0.000622182
         334    -3.77333    -3.77694 0.000620414
         335    -3.77306    -3.77693 0.000618671
         336    -3.77297    -3.77692 0.000616942
         337    -3.77304    -3.77691 0.000615218
         338    -3.77269     -3.7769 0.000613525
         339     -3.7722    -3.77688 0.000611872
         340    -3.77233    -3.77687 0.000610218
         341    -3.77264    -3.77686 0.000608555
         342    -3.77267    -3.77684 0.000606898
         343    -3.77317    -3.77683 0.000605223
         344    -3.77325    -3.77682 0.000603554
         345    -3.77349    -3.77681 0.000601882
         346    -3.77344     -3.7768 0.000600221
         347    -3.77326    -3.77679 0.000598579
         348    -3.77355    -3.77678 0.000596931
         349    -3.77369    -3.77678 0.000595287
         350    -3.77399    -3.77677 0.000593639
         351    -3.77445    -3.77676 0.000591985
         352    -3.77461    -3.77675 0.000590334
         353    -3.77507    -3.77675 0.000588681
         354    -3.77599    -3.77675 0.000587022
         355    -3.77569    -3.77674 0.000585376
         356      -3.776    -3.77674 0.000583736
         357    -3.77659    -3.77674 0.000582101
         358    -3.77672    -3.77674 0.000580475
         359    -3.77684    -3.77674 0.000578858
         360    -3.77695    -3.77674  0.00057725
         361    -3.77719    -3.77674 0.000575653
         362    -3.77742    -3.77675 0.000574065
         363    -3.77747    -3.77675 0.000572487
         364    -3.77736    -3.77675 0.000570917
         365    -3.77798    -3.77675 0.000569363
         366    -3.77813    -3.77676  0.00056782
         367    -3.77841    -3.77676  0.00056629
         368    -3.77821    -3.77677 0.000564765
         369    -3.77784    -3.77677 0.000563242
         370     -3.7776    -3.77677 0.000561724
         371     -3.7775    -3.77677 0.000560214
         372    -3.77722    -3.77677 0.000558709
         373    -3.77753    -3.77678 0.000557215
         374    -3.77767    -3.77678  0.00055573
         375    -3.77734    -3.77678  0.00055425
         376    -3.77715    -3.77678 0.000552777
         377    -3.77709    -3.77678 0.000551311
         378    -3.77672    -3.77678 0.000549853
         379    -3.77709    -3.77678 0.000548403
         380     -3.7767    -3.77678  0.00054696
         381    -3.77644    -3.77678 0.000545525
         382    -3.77633    -3.77678 0.000544098
         383     -3.7759    -3.77678 0.000542682
         384    -3.77623    -3.77678 0.000541271
         385    -3.77579    -3.77677 0.000539871
         386    -3.77535    -3.77677 0.000538485
         387    -3.77505    -3.77677 0.000537112
         388    -3.77459    -3.77676 0.000535757
         389    -3.77427    -3.77675 0.000534418
         390    -3.77394    -3.77675 0.000533096
         391    -3.77437    -3.77674 0.000531767
         392    -3.77463    -3.77673 0.000530438
         393    -3.77457    -3.77673 0.000529117
         394    -3.77451    -3.77672 0.000527804
         395    -3.77429    -3.77672 0.000526504
         396    -3.77361    -3.77671 0.000525233
         397    -3.77336     -3.7767 0.000523977
         398     -3.7728    -3.77669 0.000522752
         399    -3.77285    -3.77668 0.000521531
         400    -3.77303    -3.77667 0.000520307
         401    -3.77276    -3.77666 0.000519101
         402    -3.77263    -3.77665 0.000517907
         403    -3.77236    -3.77664 0.000516732
         404    -3.77193    -3.77663 0.000515584
         405    -3.77243    -3.77662 0.000514415
         406    -3.77202    -3.77661 0.000513273
         407    -3.77164     -3.7766 0.000512157
         408    -3.77097    -3.77658 0.000511087
         409    -3.77064    -3.77657 0.000510044
         410    -3.77063    -3.77655 0.000509006
         411    -3.77021    -3.77654 0.000508001
         412    -3.77013    -3.77652 0.000507006
         413    -3.77024    -3.77651 0.000506006
         414    -3.77115    -3.77649 0.000504949
         415     -3.7715    -3.77648 0.000503876
         416    -3.77174    -3.77647 0.000502794
         417    -3.77156    -3.77646 0.000501726
         418    -3.77172    -3.77645 0.000500653
         419    -3.77207    -3.77644 0.000499568
         420    -3.77244    -3.77643 0.000498469
         421    -3.77252    -3.77642 0.000497372
         422    -3.77307    -3.77641 0.000496256
         423    -3.77301     -3.7764 0.000495148
         424     -3.7734     -3.7764 0.000494031
         425    -3.77362    -3.77639 0.000492912
         426    -3.77352    -3.77638 0.000491801
         427     -3.7743    -3.77638 0.000490673
         428    -3.77475    -3.77637 0.000489541
         429    -3.77486    -3.77637 0.000488413
         430    -3.77509    -3.77637 0.000487286
         431    -3.77527    -3.77636 0.000486162
         432    -3.77527    -3.77636 0.000485044
         433    -3.77539    -3.77636 0.000483929
         434    -3.77547    -3.77636 0.000482818
         435    -3.77568    -3.77636  0.00048171
         436    -3.77526    -3.77635 0.000480612
         437    -3.77574    -3.77635 0.000479514
         438    -3.77544    -3.77635 0.000478424
         439    -3.77543    -3.77635 0.000477339
         440    -3.77437    -3.77634 0.000476275
         441    -3.77437    -3.77634 0.000475216
         442    -3.77407    -3.77633 0.000474169
         443    -3.77392    -3.77633  0.00047313
