x	y	z
-0.00639755	-0.113713	0.165028
0.637494	-0.0293986	-0.0064524
-0.417349	-0.00179344	0.669344
-0.583705	-0.351376	0.174236
-0.771719	-0.0904895	0.482934
0.201375	0.386797	0.615472
0.383974	0.400333	1.31643
-0.183371	-0.784518	1.34649
-1.24691	-0.412952	1.97215
-0.291105	-1.41238	1.55236
-0.0226184	-1.94936	0.717368
1.11299	-1.16656	0.513065
0.594324	-0.0949041	1.46031
1.38027	-0.00506162	0.432177
0.586535	0.238896	1.08567
0.464059	-0.880231	0.413694
0.711891	-1.11111	0.360979
1.56212	-0.438298	0.610017
2.03293	-0.882677	0.402812
0.976545	0.13347	0.685276
0.84925	-0.914201	1.58718
1.81576	-0.350856	1.35693
1.41279	0.527198	1.43106
1.25585	1.23812	1.72895
0.481252	0.0477541	1.42376
0.739082	-0.879289	0.712646
-0.000872836	-1.55866	0.832566
0.817053	-1.532	0.501277
0.4819	-1.92098	1.45923
0.103082	-0.822881	2.35677
-0.537493	-1.06078	1.21755
-1.61758	-0.329333	1.74023
-1.4164	-1.51267	0.610044
-0.633623	-2.43333	1.01921
-0.56199	-1.64096	2.07156
0.202438	-2.05956	1.00996
0.285038	-1.03175	1.3809
0.792357	-1.32144	0.943184
1.92888	-0.461461	-0.020164
1.65018	-0.568105	-0.00505896
0.884338	-1.24601	0.81492
-0.0498572	-1.48128	0.313529
-1.08474	-1.23417	-0.849333
-0.774244	-0.79674	-1.78412
-1.41775	-0.113939	-0.683785
-0.344365	0.468735	-1.10391
0.253277	0.786992	-0.707226
-0.419287	-0.314962	0.0355751
0.0203801	-1.44989	0.255672
0.0173355	-0.439678	0.092495
-0.314229	0.345704	0.164593
0.65765	-0.68497	0.634823
-0.0822642	-0.0104978	0.565602
-0.632229	0.204204	-0.210717
-0.862623	0.0430097	0.377404
-1.87348	-0.3506	0.466509
-1.13305	-0.125624	-0.703566
-1.58113	-0.640896	-0.598036
-1.69926	0.189403	-0.454296
-1.29616	-0.932794	-0.0305558
-0.103191	-0.844707	-0.01611
-0.128889	0.125196	-0.782711
0.97632	0.447723	-1.87829
1.03522	1.31306	-2.53411
1.54667	0.842156	-1.53674
2.01733	0.740059	-1.25428
1.81349	-0.15909	-0.710978
0.673779	-1.29966	-0.0662761
0.348393	-1.57007	-1.0553
-0.0750952	-1.17584	-1.54879
-0.457389	-0.395906	-0.596024
-0.364233	0.429798	0.297292
