x	y	z
-19.4951	-16.9445	13.2574
-19.5471	-16.9901	13.2891
-19.5992	-17.0356	13.3208
-19.6513	-17.0812	13.3525
-19.7034	-17.1267	13.3842
-19.7554	-17.1723	13.4159
-19.8075	-17.2178	13.4476
-19.8596	-17.2634	13.4793
-19.9117	-17.309	13.511
-19.9637	-17.3545	13.5427
-20.0158	-17.4001	13.5744
-20.0679	-17.4456	13.6061
-20.12	-17.4912	13.6377
-20.172	-17.5367	13.6694
-20.2241	-17.5823	13.7011
-20.2762	-17.6278	13.7328
-20.3283	-17.6734	13.7645
-20.3803	-17.7189	13.7962
-20.4324	-17.7645	13.8279
-20.4845	-17.81	13.8596
-20.5365	-17.8556	13.8913
-20.5886	-17.9011	13.923
-20.6407	-17.9467	13.9547
-20.6928	-17.9922	13.9864
-20.7448	-18.0378	14.018
-20.7969	-18.0833	14.0497
-20.849	-18.1289	14.0814
-20.9011	-18.1744	14.1131
-20.9531	-18.22	14.1448
-21.0052	-18.2655	14.1765
-21.0573	-18.3111	14.2082
-21.1094	-18.3566	14.2399
-21.1614	-18.4022	14.2716
-21.2135	-18.4477	14.3033
-21.2656	-18.4933	14.335
-21.3177	-18.5388	14.3667
-21.3697	-18.5844	14.3983
-21.4218	-18.6299	14.43
-21.4739	-18.6755	14.4617
-21.526	-18.721	14.4934
-21.578	-18.7666	14.5251
-21.6301	-18.8121	14.5568
-21.6822	-18.8577	14.5885
-21.7343	-18.9032	14.6202
-21.7863	-18.9488	14.6519
-21.8384	-18.9944	14.6836
-21.8905	-19.0399	14.7153
-21.9426	-19.0855	14.747
-21.9946	-19.131	14.7786
-22.0467	-19.1766	14.8103
-22.0988	-19.2221	14.842
-22.1509	-19.2677	14.8737
-22.2029	-19.3132	14.9054
-22.255	-19.3588	14.9371
-22.3071	-19.4043	14.9688
-22.3592	-19.4499	15.0005
-22.4112	-19.4954	15.0322
-22.4633	-19.541	15.0639
-22.5154	-19.5865	15.0956
-22.5674	-19.6321	15.1273
-22.6195	-19.6776	15.1589
-22.6716	-19.7232	15.1906
-22.7237	-19.7687	15.2223
-22.7757	-19.8143	15.254
-22.8278	-19.8598	15.2857
-22.8799	-19.9054	15.3174
-22.932	-19.9509	15.3491
-22.984	-19.9965	15.3808
-23.0361	-20.042	15.4125
-23.0882	-20.0876	15.4442
-23.1403	-20.1331	15.4759
-23.1923	-20.1787	15.5076
-23.2444	-20.2242	15.5392
-23.2965	-20.2698	15.5709
-23.3486	-20.3153	15.6026
-23.4006	-20.3609	15.6343
-23.4527	-20.4064	15.666
-23.5048	-20.452	15.6977
-23.5569	-20.4975	15.7294
-23.6089	-20.5431	15.7611
-23.661	-20.5886	15.7928
-23.7131	-20.6342	15.8245
-23.7652	-20.6797	15.8562
-23.8172	-20.7253	15.8879
-23.8693	-20.7709	15.9195
-23.9214	-20.8164	15.9512
-23.9735	-20.862	15.9829
-24.0255	-20.9075	16.0146
-24.0776	-20.9531	16.0463
-24.1297	-20.9986	16.078
-24.1818	-21.0442	16.1097
-24.2338	-21.0897	16.1414
-24.2859	-21.1353	16.1731
-24.338	-21.1808	16.2048
-24.3901	-21.2264	16.2365
-24.4421	-21.2719	16.2682
-24.4942	-21.3175	16.2998
-24.5463	-21.363	16.3315
-24.5984	-21.4086	16.3632
-24.6504	-21.4541	16.3949
-24.7025	-21.4997	16.4266
-24.7546	-21.5452	16.4583
-24.8066	-21.5908	16.49
-24.8587	-21.6363	16.5217
-24.9108	-21.6819	16.5534
-24.9629	-21.7274	16.5851
-25.0149	-21.773	16.6168
-25.067	-21.8185	16.6485
-25.1191	-21.8641	16.6801
-25.1712	-21.9096	16.7118
-25.2232	-21.9552	16.7435
-25.2753	-22.0007	16.7752
-25.3274	-22.0463	16.8069
-25.3795	-22.0918	16.8386
-25.4315	-22.1374	16.8703
-25.4836	-22.1829	16.902
-25.5357	-22.2285	16.9337
-25.5878	-22.274	16.9654
-25.6398	-22.3196	16.9971
-25.6919	-22.3651	17.0288
-25.744	-22.4107	17.0604
-25.7961	-22.4563	17.0921
-25.8481	-22.5018	17.1238
-25.9002	-22.5474	17.1555
-25.9523	-22.5929	17.1872
-26.0044	-22.6385	17.2189
-26.0564	-22.684	17.2506
-26.1085	-22.7296	17.2823
-26.1606	-22.7751	17.314
-26.2127	-22.8207	17.3457
-26.2647	-22.8662	17.3774
-26.3168	-22.9118	17.4091
-26.3689	-22.9573	17.4407
-26.421	-23.0029	17.4724
-26.473	-23.0484	17.5041
-26.5251	-23.094	17.5358
-26.5772	-23.1395	17.5675
-26.6293	-23.1851	17.5992
-26.6813	-23.2306	17.6309
-26.7334	-23.2762	17.6626
-26.7855	-23.3217	17.6943
-26.8375	-23.3673	17.726
-26.8896	-23.4128	17.7577
-26.9417	-23.4584	17.7894
-26.9938	-23.5039	17.821
-27.0458	-23.5495	17.8527
-27.0979	-23.595	17.8844
-27.15	-23.6406	17.9161
-27.2021	-23.6861	17.9478
-27.2541	-23.7317	17.9795
-27.3062	-23.7772	18.0112
-27.3583	-23.8228	18.0429
-27.4104	-23.8683	18.0746
-27.4624	-23.9139	18.1063
-27.5145	-23.9594	18.138
-27.5666	-24.005	18.1696
-27.6187	-24.0505	18.2013
-27.6707	-24.0961	18.233
-27.7228	-24.1416	18.2647
-27.7749	-24.1872	18.2964
-27.827	-24.2328	18.3281
-27.879	-24.2783	18.3598
-27.9311	-24.3239	18.3915
-27.9832	-24.3694	18.4232
-28.0353	-24.415	18.4549
-28.0873	-24.4605	18.4866
-28.1394	-24.5061	18.5183
-28.1915	-24.5516	18.5499
-28.2436	-24.5972	18.5816
-28.2956	-24.6427	18.6133
-28.3477	-24.6883	18.645
-28.3998	-24.7338	18.6767
-28.4519	-24.7794	18.7084
-28.5039	-24.8249	18.7401
-28.556	-24.8705	18.7718
-28.6081	-24.916	18.8035
-28.6602	-24.9616	18.8352
-28.7122	-25.0071	18.8669
-28.7643	-25.0527	18.8986
-28.8164	-25.0982	18.9302
-28.8685	-25.1438	18.9619
-28.9205	-25.1893	18.9936
-28.9726	-25.2349	19.0253
-29.0247	-25.2804	19.057
-29.0767	-25.326	19.0887
-29.1288	-25.3715	19.1204
-29.1809	-25.4171	19.1521
-29.233	-25.4626	19.1838
-29.285	-25.5082	19.2155
-29.3371	-25.5537	19.2472
-29.3892	-25.5993	19.2789
-29.4413	-25.6448	19.3105
-29.4933	-25.6904	19.3422
-29.5454	-25.7359	19.3739
-29.5975	-25.7815	19.4056
-29.6496	-25.827	19.4373
-29.7016	-25.8726	19.469
-29.7537	-25.9182	19.5007
-29.8058	-25.9637	19.5324
-29.8579	-26.0093	19.5641
-29.9099	-26.0548	19.5958
-29.962	-26.1004	19.6275
-30.0141	-26.1459	19.6592
-30.0662	-26.1915	19.6908
-30.1182	-26.237	19.7225
-30.1703	-26.2826	19.7542
-30.2224	-26.3281	19.7859
-30.2745	-26.3737	19.8176
-30.3265	-26.4192	19.8493
-30.3786	-26.4648	19.881
-30.4307	-26.5103	19.9127
-30.4828	-26.5559	19.9444
-30.5348	-26.6014	19.9761
-30.5869	-26.647	20.0078
-30.639	-26.6925	20.0395
-30.6911	-26.7381	20.0711
-30.7431	-26.7836	20.1028
-30.7952	-26.8292	20.1345
-30.8473	-26.8747	20.1662
-30.8994	-26.9203	20.1979
-30.9514	-26.9658	20.2296
-31.0035	-27.0114	20.2613
-31.0556	-27.0569	20.293
-31.1076	-27.1025	20.3247
-31.1597	-27.148	20.3564
-31.2118	-27.1936	20.3881
-31.2639	-27.2391	20.4198
-31.3159	-27.2847	20.4514
-31.368	-27.3302	20.4831
-31.4201	-27.3758	20.5148
-31.4722	-27.4213	20.5465
-31.5242	-27.4669	20.5782
-31.5763	-27.5124	20.6099
-31.6284	-27.558	20.6416
-31.6805	-27.6035	20.6733
-31.7325	-27.6491	20.705
-31.7846	-27.6947	20.7367
-31.8367	-27.7402	20.7684
-31.8888	-27.7858	20.8001
-31.9408	-27.8313	20.8317
-31.9929	-27.8769	20.8634
-32.045	-27.9224	20.8951
-32.0971	-27.968	20.9268
-32.1491	-28.0135	20.9585
-32.2012	-28.0591	20.9902
-32.2533	-28.1046	21.0219
-32.3054	-28.1502	21.0536
-32.3574	-28.1957	21.0853
-32.4095	-28.2413	21.117
-32.4616	-28.2868	21.1487
-32.5137	-28.3324	21.1804
-32.5657	-28.3779	21.212
-32.6178	-28.4235	21.2437
-32.6699	-28.469	21.2754
-32.722	-28.5146	21.3071
-32.774	-28.5601	21.3388
-32.8261	-28.6057	21.3705
-32.8782	-28.6512	21.4022
-32.9303	-28.6968	21.4339
-32.9823	-28.7423	21.4656
-33.0344	-28.7879	21.4973
-33.0865	-28.8334	21.529
-33.1386	-28.879	21.5607
-33.1906	-28.9245	21.5923
-33.2427	-28.9701	21.624
-33.2948	-29.0156	21.6557
-33.3468	-29.0612	21.6874
-33.3989	-29.1067	21.7191
-33.451	-29.1523	21.7508
-33.5031	-29.1978	21.7825
-33.5551	-29.2434	21.8142
-33.6072	-29.2889	21.8459
-33.6593	-29.3345	21.8776
-33.7114	-29.3801	21.9093
-33.7634	-29.4256	21.941
-33.8155	-29.4712	21.9726
-33.8676	-29.5167	22.0043
-33.9197	-29.5623	22.036
-33.9717	-29.6078	22.0677
-34.0238	-29.6534	22.0994
-34.0759	-29.6989	22.1311
-34.128	-29.7445	22.1628
-34.18	-29.79	22.1945
-34.2321	-29.8356	22.2262
-34.2842	-29.8811	22.2579
-34.3363	-29.9267	22.2896
-34.3883	-29.9722	22.3213
-34.4404	-30.0178	22.3529
-34.4925	-30.0633	22.3846
-34.5446	-30.1089	22.4163
-34.5966	-30.1544	22.448
-34.6487	-30.2	22.4797
-34.7008	-30.2455	22.5114
-34.7529	-30.2911	22.5431
-34.8049	-30.3366	22.5748
-34.857	-30.3822	22.6065
-34.9091	-30.4277	22.6382
-34.9612	-30.4733	22.6699
-35.0132	-30.5188	22.7016
-35.0653	-30.5644	22.7332
-35.1174	-30.6099	22.7649
-35.1695	-30.6555	22.7966
-35.2215	-30.701	22.8283
-35.2736	-30.7466	22.86
-35.3257	-30.7921	22.8917
-35.3777	-30.8377	22.9234
-35.4298	-30.8832	22.9551
-35.4819	-30.9288	22.9868
-35.534	-30.9743	23.0185
-35.586	-31.0199	23.0502
-35.6381	-31.0655	23.0819
-35.6902	-31.111	23.1135
-35.7423	-31.1566	23.1452
-35.7943	-31.2021	23.1769
-35.8464	-31.2477	23.2086
-35.8985	-31.2932	23.2403
-35.9506	-31.3388	23.272
-36.0026	-31.3843	23.3037
-36.0547	-31.4299	23.3354
-36.1068	-31.4754	23.3671
-36.1589	-31.521	23.3988
-36.2109	-31.5665	23.4305
-36.263	-31.6121	23.4621
-36.3151	-31.6576	23.4938
-36.3672	-31.7032	23.5255
-36.4192	-31.7487	23.5572
-36.4713	-31.7943	23.5889
-36.5234	-31.8398	23.6206
-36.5755	-31.8854	23.6523
-36.6275	-31.9309	23.684
-36.6796	-31.9765	23.7157
-36.7317	-32.022	23.7474
-36.7838	-32.0676	23.7791
-36.8358	-32.1131	23.8108
-36.8879	-32.1587	23.8424
-36.94	-32.2042	23.8741
-36.9921	-32.2498	23.9058
-37.0441	-32.2953	23.9375
-37.0962	-32.3409	23.9692
-37.1483	-32.3864	24.0009
-37.2004	-32.432	24.0326
-37.2524	-32.4775	24.0643
-37.3045	-32.5231	24.096
-37.3566	-32.5686	24.1277
-37.4087	-32.6142	24.1594
-37.4607	-32.6597	24.1911
-37.5128	-32.7053	24.2227
-37.5649	-32.7508	24.2544
-37.6169	-32.7964	24.2861
-37.669	-32.842	24.3178
-37.7211	-32.8875	24.3495
-37.7732	-32.9331	24.3812
-37.8252	-32.9786	24.4129
-37.8773	-33.0242	24.4446
-37.9294	-33.0697	24.4763
-37.9815	-33.1153	24.508
-38.0335	-33.1608	24.5397
-38.0856	-33.2064	24.5714
-38.1377	-33.2519	24.603
-38.1898	-33.2975	24.6347
-38.2418	-33.343	24.6664
-38.2939	-33.3886	24.6981
-38.346	-33.4341	24.7298
-38.3981	-33.4797	24.7615
-38.4501	-33.5252	24.7932
-38.5022	-33.5708	24.8249
-38.5543	-33.6163	24.8566
-38.6064	-33.6619	24.8883
-38.6584	-33.7074	24.92
-38.7105	-33.753	24.9517
-38.7626	-33.7985	24.9833
-38.8147	-33.8441	25.015
-38.8667	-33.8896	25.0467
-38.9188	-33.9352	25.0784
-38.9709	-33.9807	25.1101
-39.023	-34.0263	25.1418
-39.075	-34.0718	25.1735
-39.1271	-34.1174	25.2052
