# BLOCK:    VELOCITY:    BLOCK_POFV:    AVE_POFV:    ERROR:
          15    0.471405    0.141176    0.113974   0.0095021
          15    0.659966    0.246333    0.221573   0.0114964
          15    0.848528    0.277932    0.304411   0.0144057
          15     1.03709    0.275011    0.360836   0.0154428
          15     1.22565    0.496767     0.41389   0.0154472
          15     1.41421    0.644989    0.480391   0.0198859
          15     1.60278     0.56625    0.465802    0.014554
          15     1.79134    0.360772    0.444191   0.0184088
          15      1.9799    0.435239     0.42182   0.0130294
          15     2.16846    0.428757    0.389531   0.0134337
          15     2.35702    0.379873    0.400779   0.0182845
          15     2.54558    0.258953    0.337043   0.0237623
          15     2.73415    0.280216    0.262348   0.0174567
          15     2.92271    0.168724     0.19834   0.0193759
          15     3.11127    0.115273    0.132605   0.0114221
          15     3.29983   0.0491292     0.09104  0.00780121
          15     3.48839   0.0386208   0.0766982  0.00686515
          15     3.67696   0.0382525   0.0534651  0.00707656
          15     3.86552   0.0195191   0.0336678  0.00453251
          15     4.05408   0.0113923   0.0257046  0.00585627
          15     4.24264  0.00437031   0.0138753  0.00363584
          15      4.4312  0.00680099  0.00851802  0.00197948
          15     4.61976   0.0175795  0.00446525  0.00166137
          15     4.80833  0.00324091 0.000448489 0.000229756
          15     4.99689 0.000171866  0.00010312 6.29783e-05
          15     5.18545 0.000171866 5.72887e-05  4.4866e-05
          15     5.37401   0.0164501  0.00109667  0.00105948
          15     5.56257  0.00414934 0.000276623 0.000267243

          16   0.0942809  0.00508233  0.00775853   0.0020479
          16    0.282843   0.0740743   0.0406433  0.00692971
          16    0.471405    0.100198    0.113113  0.00894714
          16    0.659966     0.30931    0.227057   0.0120147
          16    0.848528    0.418642    0.311551   0.0151717
          16     1.03709    0.384219    0.362297   0.0145466
          16     1.22565    0.494165    0.418907   0.0152748
          16     1.41421     0.55719    0.485191   0.0192136
          16     1.60278    0.390136    0.461073   0.0143922
          16     1.79134       0.255    0.432366   0.0207105
          16      1.9799    0.542704    0.429376   0.0142381
          16     2.16846    0.332733    0.385981   0.0130547
          16     2.35702    0.313656    0.395334   0.0179342
          16     2.54558    0.308672     0.33527   0.0223433
          16     2.73415     0.29723    0.264528   0.0165012
          16     2.92271    0.140439    0.194721   0.0184997
          16     3.11127    0.136241    0.132833   0.0107105
          16     3.29983   0.0792549   0.0903034  0.00734833
          16     3.48839   0.0309605   0.0738396    0.007006
          16     3.67696   0.0177022   0.0512299  0.00697835
          16     3.86552   0.0353062   0.0337702  0.00425038
          16     4.05408   0.0117606   0.0248331  0.00555472
          16     4.24264  0.00520509   0.0133334  0.00344875
          16      4.4312  0.00930533  0.00856722  0.00185638
          16     4.61976  0.00500867  0.00449921  0.00155788
          16     4.80833           0 0.000420458 0.000217099
          16     4.99689           0 9.66748e-05  5.9371e-05
          16     5.18545           0 5.37082e-05 4.22045e-05
          16     5.37401   0.0426228  0.00369205  0.00270215
          16     5.56257  0.00648181 0.000664447 0.000451417

          17   0.0942809   0.0122516  0.00802283  0.00194442
          17    0.282843    0.124996   0.0456052  0.00810616
          17    0.471405    0.126248    0.113885  0.00845413
          17    0.659966    0.325809    0.232866   0.0126344
          17    0.848528    0.404131    0.316996   0.0152253
          17     1.03709    0.364528    0.362428   0.0136915
          17     1.22565    0.384367    0.416875   0.0145108
          17     1.41421    0.456158    0.483483   0.0181591
          17     1.60278    0.356524    0.454923   0.0148013
          17     1.79134     0.39183    0.429982   0.0196291
          17      1.9799    0.499738    0.433515   0.0139892
          17     2.16846    0.399515    0.386777    0.012311
          17     2.35702    0.279553    0.388523   0.0181264
          17     2.54558    0.277638    0.331879   0.0212846
          17     2.73415    0.311422    0.267287   0.0157594
          17     2.92271    0.163175    0.192866   0.0175044
          17     3.11127    0.116624    0.131879   0.0101228
          17     3.29983    0.126248   0.0924178  0.00721386
          17     3.48839   0.0521982   0.0725665  0.00670854
          17     3.67696   0.0592202      0.0517  0.00658367
          17     3.86552   0.0277196   0.0334143  0.00401523
          17     4.05408   0.0126444   0.0241162  0.00527404
          17     4.24264 0.000417389   0.0125737  0.00332852
          17      4.4312  7.3657e-05   0.0080676  0.00181317
          17     4.61976 9.82093e-05  0.00424033  0.00148759
          17     4.80833 0.000122762 0.000402947 0.000205034
          17     4.99689  0.00324091  0.00028163 0.000187932
          17     5.18545  0.00643271 0.000428943 0.000366192
          17     5.37401  0.00817592  0.00395581  0.00255604
          17     5.56257   0.0120061   0.0013316 0.000774224

          18   0.0942809  0.00518054  0.00786493   0.0018428
          18    0.282843    0.028628    0.044662   0.0077105
          18    0.471405   0.0723802    0.111579  0.00829295
          18    0.659966    0.201304    0.231112   0.0120535
